C:\Users\yoeli\Documents\CAR4\IMG\center_2017_03_06_20_54_14_749.jpg,C:\Users\yoeli\Documents\CAR4\IMG\left_2017_03_06_20_54_14_749.jpg,C:\Users\yoeli\Documents\CAR4\IMG\right_2017_03_06_20_54_14_749.jpg,0,0,0,0.9534792
C:\Users\yoeli\Documents\CAR4\IMG\center_2017_03_06_20_54_14_821.jpg,C:\Users\yoeli\Documents\CAR4\IMG\left_2017_03_06_20_54_14_821.jpg,C:\Users\yoeli\Documents\CAR4\IMG\right_2017_03_06_20_54_14_821.jpg,0,0,0,0.9453363
C:\Users\yoeli\Documents\CAR4\IMG\center_2017_03_06_20_54_14_888.jpg,C:\Users\yoeli\Documents\CAR4\IMG\left_2017_03_06_20_54_14_888.jpg,C:\Users\yoeli\Documents\CAR4\IMG\right_2017_03_06_20_54_14_888.jpg,0,0,0,0.9392748
C:\Users\yoeli\Documents\CAR4\IMG\center_2017_03_06_20_54_14_961.jpg,C:\Users\yoeli\Documents\CAR4\IMG\left_2017_03_06_20_54_14_961.jpg,C:\Users\yoeli\Documents\CAR4\IMG\right_2017_03_06_20_54_14_961.jpg,0,0.2127626,0,0.7508361
C:\Users\yoeli\Documents\CAR4\IMG\center_2017_03_06_20_54_15_063.jpg,C:\Users\yoeli\Documents\CAR4\IMG\left_2017_03_06_20_54_15_063.jpg,C:\Users\yoeli\Documents\CAR4\IMG\right_2017_03_06_20_54_15_063.jpg,0,0.4160379,0,0.4391106
C:\Users\yoeli\Documents\CAR4\IMG\center_2017_03_06_20_54_15_133.jpg,C:\Users\yoeli\Documents\CAR4\IMG\left_2017_03_06_20_54_15_133.jpg,C:\Users\yoeli\Documents\CAR4\IMG\right_2017_03_06_20_54_15_133.jpg,0,0.6282616,0,0.1643399
C:\Users\yoeli\Documents\CAR4\IMG\center_2017_03_06_20_54_15_203.jpg,C:\Users\yoeli\Documents\CAR4\IMG\left_2017_03_06_20_54_15_203.jpg,C:\Users\yoeli\Documents\CAR4\IMG\right_2017_03_06_20_54_15_203.jpg,0,0.8393064,0,0.7140341
C:\Users\yoeli\Documents\CAR4\IMG\center_2017_03_06_20_54_15_273.jpg,C:\Users\yoeli\Documents\CAR4\IMG\left_2017_03_06_20_54_15_273.jpg,C:\Users\yoeli\Documents\CAR4\IMG\right_2017_03_06_20_54_15_273.jpg,0,1,0,1.595245
C:\Users\yoeli\Documents\CAR4\IMG\center_2017_03_06_20_54_15_307.jpg,C:\Users\yoeli\Documents\CAR4\IMG\left_2017_03_06_20_54_15_307.jpg,C:\Users\yoeli\Documents\CAR4\IMG\right_2017_03_06_20_54_15_307.jpg,0,1,0,2.256024
C:\Users\yoeli\Documents\CAR4\IMG\center_2017_03_06_20_54_15_377.jpg,C:\Users\yoeli\Documents\CAR4\IMG\left_2017_03_06_20_54_15_377.jpg,C:\Users\yoeli\Documents\CAR4\IMG\right_2017_03_06_20_54_15_377.jpg,0,1,0,3.181884
C:\Users\yoeli\Documents\CAR4\IMG\center_2017_03_06_20_54_15_446.jpg,C:\Users\yoeli\Documents\CAR4\IMG\left_2017_03_06_20_54_15_446.jpg,C:\Users\yoeli\Documents\CAR4\IMG\right_2017_03_06_20_54_15_446.jpg,0,1,0,3.887055
C:\Users\yoeli\Documents\CAR4\IMG\center_2017_03_06_20_54_15_518.jpg,C:\Users\yoeli\Documents\CAR4\IMG\left_2017_03_06_20_54_15_518.jpg,C:\Users\yoeli\Documents\CAR4\IMG\right_2017_03_06_20_54_15_518.jpg,0,1,0,4.822138
C:\Users\yoeli\Documents\CAR4\IMG\center_2017_03_06_20_54_15_591.jpg,C:\Users\yoeli\Documents\CAR4\IMG\left_2017_03_06_20_54_15_591.jpg,C:\Users\yoeli\Documents\CAR4\IMG\right_2017_03_06_20_54_15_591.jpg,0,1,0,5.518114
C:\Users\yoeli\Documents\CAR4\IMG\center_2017_03_06_20_54_15_663.jpg,C:\Users\yoeli\Documents\CAR4\IMG\left_2017_03_06_20_54_15_663.jpg,C:\Users\yoeli\Documents\CAR4\IMG\right_2017_03_06_20_54_15_663.jpg,0,1,0,6.439842
C:\Users\yoeli\Documents\CAR4\IMG\center_2017_03_06_20_54_15_733.jpg,C:\Users\yoeli\Documents\CAR4\IMG\left_2017_03_06_20_54_15_733.jpg,C:\Users\yoeli\Documents\CAR4\IMG\right_2017_03_06_20_54_15_733.jpg,0,1,0,7.126431
C:\Users\yoeli\Documents\CAR4\IMG\center_2017_03_06_20_54_15_803.jpg,C:\Users\yoeli\Documents\CAR4\IMG\left_2017_03_06_20_54_15_803.jpg,C:\Users\yoeli\Documents\CAR4\IMG\right_2017_03_06_20_54_15_803.jpg,0,1,0,8.035656
C:\Users\yoeli\Documents\CAR4\IMG\center_2017_03_06_20_54_15_871.jpg,C:\Users\yoeli\Documents\CAR4\IMG\left_2017_03_06_20_54_15_871.jpg,C:\Users\yoeli\Documents\CAR4\IMG\right_2017_03_06_20_54_15_871.jpg,0,1,0,8.71293
C:\Users\yoeli\Documents\CAR4\IMG\center_2017_03_06_20_54_15_943.jpg,C:\Users\yoeli\Documents\CAR4\IMG\left_2017_03_06_20_54_15_943.jpg,C:\Users\yoeli\Documents\CAR4\IMG\right_2017_03_06_20_54_15_943.jpg,0,1,0,9.6098
